标题,类型,名称,位置,resblockroom,area,resblockroom1,resblockroom2,resblockroom3,关键词,数量,描述,second
"
          整租·新里卢浮公馆二期 1室1厅 东        ","
                郑东新区-郑州东站-新里卢浮公馆二期
        /
        50.00㎡
        /东        /
          1室1厅1卫        
          /
          中楼层                        （13层）
                  
      ",郑东新区,郑州东站,新里卢浮公馆二期,精装,集中供暖,,"
            链家          ",2200 元/月,2200,,,,,,14天前维护,,"
          /
          中楼层                        （13层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg18/#contentList
"
          合租·卡萨公寓 4居室 南卧        ","
                  精选          /
                金水-枣庄-卡萨公寓
        /
        22.00㎡
        /南        /
          4室1厅2卫        
          /
          高楼层                        （7层）
                  
      ",金水,枣庄,卡萨公寓,租住保障,公寓,月租,"
            坚果公寓          ",650 元/月,650,"
            广告          ",/,拎包入住,独立阳台,集中供暖,9天前维护,,"
          /
          高楼层                        （7层）
                  ",随时看房,,,,下一页,https://zz.zu.ke.com/zufang/pg18/#contentList
"
          整租·金成时代广场 2室1厅 西        ","
                金水区-财富广场-金成时代广场
        /
        79.00㎡
        /西        /
          2室1厅1卫        
          /
          高楼层                        （32层）
                  
      ",金水区,财富广场,金成时代广场,近地铁,精装,集中供暖,2天前维护,2500 元/月,2500,,,随时看房,,,,,"
          /
          高楼层                        （32层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg18/#contentList
"
          整租·金成时代广场 1室1厅 南        ","
                金水区-财富广场-金成时代广场
        /
        57.00㎡
        /南        /
          1室1厅1卫        
          /
          低楼层                        （32层）
                  
      ",金水区,财富广场,金成时代广场,近地铁,精装,随时看房,14天前维护,1800 元/月,1800,,,,,,,,"
          /
          低楼层                        （32层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg18/#contentList
"
          整租·财信圣堤亚纳小区 1室1厅 南        ","
                郑东新区-黄河南路-财信圣堤亚纳小区
        /
        58.49㎡
        /南        /
          1室1厅1卫        
          /
          高楼层                        （34层）
                  
      ",郑东新区,黄河南路,财信圣堤亚纳小区,近地铁,精装,集中供暖,2天前维护,2450 元/月,2450,,,随时看房,,,,,"
          /
          高楼层                        （34层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg18/#contentList
"
          整租·郑州绿都城 2室2厅 南/北        ","
                中原区-中原万达-郑州绿都城
        /
        90.00㎡
        /南 北        /
          2室2厅1卫        
          /
          低楼层                        （18层）
                  
      ",中原区,中原万达,郑州绿都城,精装,集中供暖,随时看房,1天前维护,1800 元/月,1800,,,,,,,,"
          /
          低楼层                        （18层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg18/#contentList
"
          整租·盛澳金尊府 2室2厅 南        ","
                管城回族区-阳光城-盛澳金尊府
        /
        82.00㎡
        /南        /
          2室2厅1卫        
          /
          中楼层                        （34层）
                  
      ",管城回族区,阳光城,盛澳金尊府,近地铁,精装,集中供暖,"
            链家          ",2700 元/月,2700,,,,,,6天前维护,,"
          /
          中楼层                        （34层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg18/#contentList
"
          整租·帝湖双鱼座 1室0厅 北        ","
                中原区-帝湖-帝湖双鱼座
        /
        33.00㎡
        /北        /
          1室0厅1卫        
          /
          中楼层                        （18层）
                  
      ",中原区,帝湖,帝湖双鱼座,近地铁,随时看房,,9天前维护,800 元/月,800,,,,,,,,"
          /
          中楼层                        （18层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg18/#contentList
"
          整租·永威翰林居 1室0厅 北        ","
                郑东新区-天赋路-永威翰林居
        /
        41.00㎡
        /北        /
          1室0厅1卫        
          /
          中楼层                        （8层）
                  
      ",郑东新区,天赋路,永威翰林居,近地铁,精装,随时看房,"
            链家          ",2200 元/月,2200,,,,,,8天前维护,,"
          /
          中楼层                        （8层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg18/#contentList
"
          合租·丽都花园燕庄新区南区 2居室 南卧        ","
                  精选          /
                金水区-燕庄-丽都花园燕庄新区南区
        /
        20.00㎡
        /南        /
          2室2厅1卫        
          /
          低楼层                        （34层）
                  
      ",金水区,燕庄,丽都花园燕庄新区南区,租住保障,公寓,月租,"
            橘猫公寓          ",900 元/月,900,"
            广告          ",/,近地铁,精装,集中供暖,5天前维护,,"
          /
          低楼层                        （34层）
                  ",押一付一,随时看房,,,下一页,https://zz.zu.ke.com/zufang/pg18/#contentList
"
          整租·晶华城 1室0厅 北        ","
                中原区-五龙口-晶华城
        /
        31.00㎡
        /北        /
          1室0厅0卫        
          /
          中楼层                        （27层）
                  
      ",中原区,五龙口,晶华城,精装,集中供暖,随时看房,"
            链家          ",1100 元/月,1100,,,,,,6天前维护,,"
          /
          中楼层                        （27层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg18/#contentList
"
          整租·阳光城5号院 2室2厅 南        ","
                管城回族区-阳光城-阳光城5号院
        /
        85.00㎡
        /南        /
          2室2厅1卫        
          /
          低楼层                        （31层）
                  
      ",管城回族区,阳光城,阳光城5号院,近地铁,精装,集中供暖,"
            链家          ",2100 元/月,2100,,,随时看房,,,11天前维护,,"
          /
          低楼层                        （31层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg18/#contentList
